Material;Texto breve material
4000010;ALCACHOFRA 300MG CX 30CP                
4000013;ANTI-SEPTICO ANESTESICO FRASCO 30ML     
4000014;ASSEPTCARE SOL TOPICA FRASCO 30ML       
4000015;ASSEPTCARE SOL TOPICA SPY FRASCO 50ML   
4000016;BENATUX FRAMBOESA CX 12CP               
4000017;BENATUX MENTA CX 12CP                   
4000019;BIO-C 1G EFERV LARANJA CX10CP           
4000020;BIO-C ZINCO 1000MG+10MG CX 30EFEV       
4000030;ATROVENT 0,025% GTS 20ML                
4000031;BEROTEC 100MCG AERO DOSIFICADOR 10ML    
4000032;BEROTEC GTS 20ML                        
4000038;ACHEFLAN AERO 5MG 75ML                  
4000039;ACHEFLAN CR 30G                         
4000040;ACHEFLAN CR DERM 5MG 60G                
4000041;ADINOS GEL/CR 15G                       
4000042;ADINOS GEN CR/GEL 30G                   
4000043;ADIPEPT 20MG 28CPR REV                  
4000044;ADIPEPT 40MG 14CPR REV                  
4000045;ALLESTRA 20 75/20MCG 21DRG              
4000046;ALLESTRA 30 75/30MCG 21DRG              
4000047;ALENIA 6/100MCG 60CAP+INAL              
4000049;ALENIA 6/200MCG C/60CAP+REFIL           
4000050;ALENIA 12/400MCG 60CP+INAL              
4000051;ARTROLIVE 30CAPS                        
4000052;ARTROSIL 160MG 10CAPS                   
4000053;ARTROSIL 160MG 20CAPS                   
4000054;ARTROSIL 320MG 10CAPS                   
4000055;ARTROSIL 320MG 20CAPS                   
4000056;BETADINE 16MG 30CPR                     
4000057;BIOFENAC 50MG 10CPR REV                 
4000058;BIOFENAC 50MG 20CPR REV                 
4000059;BIOFENAC CLR 75MG 14CPR                 
4000060;BRAVAN 160MG C/30CP                     
4000061;BRAVAN 320MG C/30CP                     
4000062;BRONDILAT XPE AD 120ML                  
4000063;BRONDILAT XPE PED 120ML                 
4000064;CANDICORT CR DERM 30G                   
4000065;CANDICORT POM DERM 30G                  
4000066;CEFALIV 12CPR                           
4000067;CEFALIUM C/12CP                         
