23.04.2020                                                               Saída dinâmica de lista                                                                       1
------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Nome do fornecedor|Material|Qtd.pedido|Texto breve|Qtd.estoque
3593       SB COMERCIO LTDA        |4003232|120.0|FLUCANIL 150MG 1CP GEOLAB               |12
3593       SB COMERCIO LTDA        |4005091|60.0|BETRICORT CREME 30G CX60 GEOLAB         |6
3593       SB COMERCIO LTDA        |4003225|51.0|COLIRIO GEOLAB 20ML GEOLAB              |5
3593       SB COMERCIO LTDA        |4003251|60.0|MIZONOL CREME DERM 20MG/G 28G GEOLAB    |6
3593       SB COMERCIO LTDA        |4001716|20.0|GINO-COLON TUBO 45G+7APL                |2
3593       SB COMERCIO LTDA        |4003222|30.0|CISTEIL XPE INF 20MG/ML C/120ML+COP GEOL|3
3593       SB COMERCIO LTDA        |4003270|30.0|TYLALGIN 750MG 20CP GEOLAB              |3
3593       SB COMERCIO LTDA        |4003022|30.0|ALBEL MAST 400MG 3CP GEOLAB             |3
3593       SB COMERCIO LTDA        |4001102|30.0|GINO-MINOZOL CREME TUBO 80G+14APL       |3
3593       SB COMERCIO LTDA        |4003281|20.0|VITAZINC EFERV LARANJA 10EVX4G GEOLAB   |2
3593       SB COMERCIO LTDA        |4003271|20.0|TYLALGIN CAF 20CP GEOLAB                |2
3593       SB COMERCIO LTDA        |4003211|30.0|ARARTAN 50MG 30CP GEOLAB                |3
3593       SB COMERCIO LTDA        |4003250|24.0|MIRACALCIO VIT-D 600MG+400UI 60CP GEOLAB|2
3593       SB COMERCIO LTDA        |4003255|30.0|OCUTIL SOL OFTALM 0,25MG/ML 15ML GEOLAB |3
3593       SB COMERCIO LTDA        |4003259|20.0|POLTAX 50MG 20CP GEOLAB                 |2
3593       SB COMERCIO LTDA        |4003260|20.0|POLTAX FLAN GEL 11,6MG/G 60G GEOLAB     |2
3593       SB COMERCIO LTDA        |4005258|30.0|LOSARTANA POTASSICA 50MG C/30CP (GLG)   |3
3593       SB COMERCIO LTDA        |4001044|20.0|TRINODAZOL GELEIA VAG TUBO 50G+10APL    |2
3593       SB COMERCIO LTDA        |4001722|60.0|MAXIVIEW SUSP OFTALMICA FRASCO 5ML      |6
3593       SB COMERCIO LTDA        |4001730|60.0|PREDOPTIC SOL OFTALM FRASCO 5ML         |6
3593       SB COMERCIO LTDA        |4001119|96.0|MULTIGRIP CX20CP                        |9
3593       SB COMERCIO LTDA        |4001713|30.0|FORMYN 850MG CX 30CP                    |3
3593       SB COMERCIO LTDA        |4001712|30.0|FORMYN 500MG CX 30CP                    |3
3593       SB COMERCIO LTDA        |4002870|20.0|LORATADINA XPE 1MG/ML C/100ML           |2
3593       SB COMERCIO LTDA        |4002025|24.0|ISOTRETINOINA 10MG CX 30CP-NEO QUIMICA  |2
4239       TAPAJOS COMERCIO DE MEDI|4003811|30.0|DIUPRESS 25MG C/20CP SUPERA             |3
