material,vendas,qtd_loja,porcentagem,status
4000019,151,7,0.046357615894039736,ok
4000020,27,9,0.3333333333333333,ok
4000173,3,2,0.6666666666666666,ok
4000301,2,1,0.5,ok
4000331,5,1,0.2,ok
4000333,3,1,0.3333333333333333,ok
4000359,3,1,0.3333333333333333,ok
4000360,2,2,1.0,ok
4000446,45,2,0.044444444444444446,ok
4000567,5,1,0.2,ok
4000793,70,15,0.21428571428571427,ok
4000795,30,13,0.43333333333333335,ok
4000927,2,1,0.5,ok
4001620,5,3,0.6,ok
4001984,11,1,0.09090909090909091,ok
4002276,2,1,0.5,ok
4002431,56,1,0.017857142857142856,ok
4002553,13,2,0.15384615384615385,ok
4003322,11,1,0.09090909090909091,ok
4003530,45,1,0.022222222222222223,ok
4003694,1,1,1.0,ok
4003695,6,3,0.5,ok
4003698,9,1,0.1111111111111111,ok
4003731,7,1,0.14285714285714285,ok
4003833,21,1,0.047619047619047616,ok
4004124,21,8,0.38095238095238093,ok
4004594,4,1,0.25,ok
4005114,1,1,1.0,ok
6000425,5,2,0.4,ok
6001075,2,2,1.0,ok
6001415,14,4,0.2857142857142857,ok
